,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
86,0.477,0.792,0.507580364748287,0.484,0.0,0.106,1.0,0.192,0.41041761926535586
87,0.0244,0.486,0.6318791544397895,0.881,0.0,0.429,0.0,0.0474,0.6138842317397416
88,0.243,0.265,0.5373617150913979,0.312,0.0,0.0893,1.0,0.0569,0.2317863130620332
89,0.726,0.253,0.29333525355019785,0.139,5.01e-05,0.269,1.0,0.0414,0.31486138630628796
90,0.179,0.515,0.5144974050642124,0.663,0.668,0.494,0.0,0.0328,0.5081542447797591
91,0.771,0.695,0.43434761680002976,0.287,0.904,0.362,1.0,0.0499,0.5420413554844281
92,0.0747,0.798,0.5159933791781448,0.904,6.62e-06,0.0522,0.0,0.0476,0.5715930837101391
93,0.0747,0.798,0.5159933791781448,0.904,6.62e-06,0.0522,0.0,0.0476,0.5715930837101391
94,0.97,0.171,0.4944017013371307,0.0325,0.87,0.0756,0.0,0.043,0.2998399634202103
95,0.152,0.44,0.49386474430557925,0.676,0.0201,0.108,1.0,0.0582,0.5292765330488238
96,0.948,0.571,0.5636672647163117,0.0274,6.43e-06,0.322,0.0,0.0649,0.5258725803993294
97,0.825,0.458,0.5111822477647983,0.361,0.913,0.103,0.0,0.0353,0.36819421158698706
98,0.00623,0.808,0.5228801380807049,0.519,0.136,0.119,0.0,0.0403,0.4867863977374723
99,0.0103,0.551,0.4278199295245153,0.819,0.0437,0.153,1.0,0.0525,0.7405586885468001
100,0.0879,0.739,0.4779942413117775,0.625,0.0,0.251,1.0,0.0382,0.5206523395823807
101,0.314,0.692,0.485952547711318,0.735,0.959,0.117,1.0,0.0348,0.4657445511354976
102,0.0114,0.784,0.4879124940990478,0.913,0.00162,0.0831,1.0,0.177,0.5336838896509678
103,0.00453,0.545,0.5008490970524795,0.641,6.59e-05,0.171,0.0,0.0998,0.5160629307862961
104,0.428,0.617,0.5013054262841075,0.378,9.16e-05,0.11,1.0,0.0315,0.6010559027248557
105,0.538,0.609,0.44728319262949046,0.428,0.0,0.064,1.0,0.0244,0.4067427052109265
106,0.279,0.719,0.4960348425068619,0.461,0.0,0.0875,1.0,0.0454,0.5246278514454098
107,0.000974,0.605,0.41991940936421424,0.887,0.919,0.352,1.0,0.0448,0.42336872766685296
108,0.471,0.708,0.4676582911383049,0.42,0.0,0.353,0.0,0.121,0.6180502633406154
109,0.406,0.536,0.46313214951019077,0.659,0.004,0.107,1.0,0.0483,0.7198894138766109
110,0.234,0.514,0.46142379826002755,0.749,7.98e-05,0.19,1.0,0.403,0.7604828193534183
111,0.00142,0.627,0.42017050635428554,0.993,0.254,0.239,1.0,0.0714,0.4656090704330301
112,0.123,0.656,0.3847031459471182,0.964,0.813,0.78,0.0,0.0964,0.4826796389439279
113,0.11,0.706,0.40528379703981354,0.933,0.878,0.058,1.0,0.0721,0.4828278209622517
114,0.755,0.464,0.5139583907892078,0.391,9.64e-05,0.105,1.0,0.0384,0.452535182644922
115,0.113,0.613,0.4332403722548399,0.551,0.0,0.266,1.0,0.198,0.46674372131619496
116,0.654,0.328,0.5622124248559928,0.571,1.15e-05,0.27,1.0,0.0395,0.790030313807177
117,0.886,0.581,0.519279575377749,0.304,2.79e-05,0.103,0.0,0.0274,0.46150654541143793
118,0.561,0.307,0.5027447340973672,0.265,0.000517,0.398,0.0,0.0497,0.3984614472726041
119,0.131,0.639,0.5129728233117281,0.594,0.0,0.119,1.0,0.0347,0.3388457044149774
120,0.858,0.556,0.5599828833644755,0.792,0.007,0.596,1.0,0.0715,0.41725516096800963
121,0.349,0.792,0.6108870162064197,0.635,5.92e-06,0.324,0.0,0.0863,0.5165371132449321
122,0.117,0.69,0.5722560624709265,0.78,0.0,0.0696,0.0,0.0489,0.4697920371217124
